商品,价格,店铺,详情页,品牌,详情
商品,价格,店铺,详情页,品牌,详情
HLA海澜之家短袖T恤男夏新疆棉微弹圆领数码印花t恤男 【吸湿透气】【时尚青春】【含新疆棉】立即抢购,88.00,海澜之家京东自营旗舰店,https://item.jd.com/100016565291.html,品牌： 海澜之家（HLA）,商品名称：海澜之家短袖T恤HNTBJ2U015A商品编号：100016565291商品毛重：240.00g商品产地：江苏货号：HNTBJ2U015A材质：棉77%版型：标准型适用季节：夏季上市时间：2022年夏季领型：圆领适用人群：青年流行元素：印花厚度：常规图案：文字袖长：短袖风格：休闲风休闲风：简约风
吉普（JEEP）休闲裤男2023春夏季直筒裤子男士潮流百搭商务男裤 军绿 XL,168.00,jeep男装京东自营专区,https://item.jd.com/100048598999.html,品牌： 吉普（JEEP）,商品名称：吉普休闲裤商品编号：100048598999商品毛重：450.00g商品产地：中国大陆货号：Q-LHBJP828ZY材质：棉95%，涤纶(聚酯纤维)5%适用季节：春季，秋季上市时间：2023年春季裤门襟：系扣适用人群：青年，青少年流行元素：车缝线裤型：直筒裤厚度：常规裤长：长裤图案：纯色腰型：自然腰风格：日韩风日韩风：韩版
浪登西裤男中年夏季宽松直筒商务正装双褶职业西装裤 深蓝色 35(2.69尺),148.00,浪登旗舰店,https://item.jd.com/68942624289.html,品牌： 浪登,商品名称：浪登西裤男中年夏季宽松直筒商务正装双褶职业西装裤 深蓝色 35(2.69尺)商品编号：68942624289店铺： 浪登旗舰店商品毛重：350.00g商品产地：中国大陆货号：YA014厚度：薄款弹力：无弹力适用场景：商务，职场材质：粘纤(粘胶纤维)33.5%，涤纶(聚酯纤维)66.5%风格：商务正装适用季节：夏季适用人群：中年上市时间：2020年夏季
雾卡【纯棉3件】短袖t恤男衣服圆领宽松潮印花青年大码新品夏季休闲 小鹿角铁灰+EXP卡其+大R黑 XL建议135-150斤,79.00,宾宇服饰专营店,https://item.jd.com/10067594587977.html,品牌： 雾卡,商品名称：雾卡【纯棉3件】短袖t恤男衣服圆领宽松潮印花青年大码新品夏季休闲 小鹿角铁灰+EXP卡其+大R黑 XL建议135-150斤商品编号：10067594587977店铺： 宾宇服饰专营店商品毛重：0.6kg货号：3件装领型：圆领材质：棉100%厚度：常规袖长：短袖适用季节：春季，夏季，秋季版型：宽松型上市时间：2023年春季风格：休闲风休闲风：简约风
吉普（JEEP）休闲裤男春夏季韩版束脚裤子男士宽松工装裤男裤 灰色 XL,168.00,jeep男装京东自营专区,https://item.jd.com/100041870636.html,品牌： 吉普（JEEP）,商品名称：吉普休闲裤商品编号：100041870636商品毛重：300.00g商品产地：中国大陆货号：X-1163JP666ZY材质：棉65%，涤纶(聚酯纤维)33%，氨纶(聚氨酯弹性纤维)2%适用季节：春季，夏季上市时间：2023年春季厚度：常规适用人群：青年，青少年裤长：长裤裤门襟：系带裤型：工装裤弹力：微弹腰型：自然腰风格：日韩风日韩风：韩版
咖咪龙（KAMILONG） 黑白条纹衬衫男短袖宽松休闲大码衬衣半袖外套黑色夏季薄款百搭 白色 S (不清楚码数的话，建议联系客,135.20,咖咪龙男装旗舰店,https://item.jd.com/10072223667566.html,品牌： 咖咪龙（KAMILONG）,商品名称：咖咪龙（KAMILONG） 黑白条纹衬衫男短袖宽松休闲大码衬衣半袖外套黑色夏季薄款百搭 白色 S (不清楚码数的话，建议联系客商品编号：10072223667566店铺： 咖咪龙男装旗舰店商品毛重：1.0kg货号：TXtfpfri厚度：薄款材质：山羊绒100%版型：宽松型适用季节：夏季图案：条纹上市时间：2023年春季
卡帝乐鳄鱼（CARTELO）冰丝短袖T恤男套装2023夏季短袖男士休闲运动衣服裤子2件套装,169.00,卡帝乐鳄鱼（CARTELO）男装京东自营专卖店,https://item.jd.com/100043919852.html,品牌： 卡帝乐鳄鱼（CARTELO）,商品名称：卡帝乐鳄鱼T恤商品编号：100043919852商品毛重：200.00g商品产地：中国福建省货号：Q-SLWKDLNZ39201TZ-ZY材质：氨纶(聚氨酯弹性纤维)12%，锦纶/尼龙(聚酰胺纤维)88%袖长：短袖适用季节：春季，夏季上市时间：2023年夏季领型：圆领适用人群：青年，青少年流行元素：车缝线，简约厚度：常规版型：标准型图案：条纹适用场景：旅行，运动风格：日韩风日韩风：韩版
京东京造【抗菌系列】5A抑菌抗发黄T恤男40S新疆棉t恤男夏短袖打底T白色L,39.90,京东京造官方自营旗舰店,https://item.jd.com/100018772755.html,品牌： 京东京造,商品名称：京东京造京东京造 男士棉质圆领短袖T恤商品编号：100018772755商品毛重：270.00g商品产地：中国大陆货号：6941592771401领型：圆领材质：棉95%，氨纶(聚氨酯弹性纤维)5%流行元素：简约厚度：常规袖长：短袖版型：标准型图案：纯色上市时间：2022年春季风格：休闲风休闲风：中性风
NASA BASE官方男装潮牌联名休闲裤男女款夏季宽松束脚青少年动漫冰丝裤子男 ZXFS-2114-白色 XL（建议130-150斤）,89.00,NASA BASE服饰旗舰店,https://item.jd.com/10071375167756.html,品牌： NASA BASE,商品名称：NASA BASE官方男装潮牌联名休闲裤男女款夏季宽松束脚青少年动漫冰丝裤子男 ZXFS-2114-白色 XL（建议130-150斤）商品编号：10071375167756店铺： NASA BASE服饰旗舰店商品毛重：1.0kg商品产地：中国大陆货号：BASE-ZXFS-2114材质：涤纶(聚酯纤维)100%厚度：薄款适用季节：春季，夏季，秋季，冬季，四季通用弹力：无弹力上市时间：2023年夏季裤门襟：松紧适用人群：青年，青少年，情侣流行元素：印花，图腾裤长：长裤裤型：铅笔裤/小脚裤腰型：自然腰图案：卡通动漫，3D印花适用场景：学校，居家风格：休闲风休闲风：oversize
卡帝乐鳄鱼（CARTELO）裤子男裤夏季潮流休闲裤男士宽松小脚运动束脚裤 黑色 XL,138.00,卡帝乐鳄鱼（CARTELO）服饰京东自营专区,https://item.jd.com/100045339708.html,品牌： 卡帝乐鳄鱼（CARTELO）,商品名称：卡帝乐鳄鱼休闲裤商品编号：100045339708商品毛重：370.00g商品产地：中国福建省货号：Q-KDSDKDLNZ2211XD材质：涤纶(聚酯纤维)95%，氨纶(聚氨酯弹性纤维)5%适用季节：夏季，四季通用上市时间：2023年夏季裤门襟：系带适用人群：青年，青少年裤长：长裤厚度：常规腰型：自然腰裤型：束腿裤风格：日韩风日韩风：韩版
